SNR = 5 ; totalerror1 = 25433; totalerror2 = 140
SNR = 5 ; totalerror1 = 38203; totalerror2 = 460
SNR = 5 ; totalerror1 = 40923; totalerror2 = 762
SNR = 5 ; totalerror1 = 54189; totalerror2 = 1053
SNR = 5 ; totalerror1 = 65246; totalerror2 = 1097
SNR = 5 ; totalerror1 = 66878; totalerror2 = 1372
SNR = 5 ; totalerror1 = 86653; totalerror2 = 1689
SNR = 5 ; totalerror1 = 93897; totalerror2 = 1966
SNR = 5 ; totalerror1 = 101771; totalerror2 = 2203
SNR = 5 ; totalerror1 = 103323; totalerror2 = 2569
SNR = 5 ; totalerror1 = 103820; totalerror2 = 2827
SNR = 5 ; totalerror1 = 110746; totalerror2 = 3131
SNR = 5 ; totalerror1 = 113502; totalerror2 = 3418
SNR = 5 ; totalerror1 = 116385; totalerror2 = 3752
SNR = 5 ; totalerror1 = 119746; totalerror2 = 4000
SNR = 5 ; totalerror1 = 127257; totalerror2 = 4297
SNR = 5 ; totalerror1 = 133899; totalerror2 = 4510
SNR = 5 ; totalerror1 = 136156; totalerror2 = 4798
SNR = 5 ; totalerror1 = 136661; totalerror2 = 5048
SNR = 5 ; totalerror1 = 149320; totalerror2 = 5398
SNR = 5 ; totalerror1 = 158584; totalerror2 = 5587
SNR = 5 ; totalerror1 = 171757; totalerror2 = 5833
SNR = 5 ; totalerror1 = 172431; totalerror2 = 6103
SNR = 5 ; totalerror1 = 181152; totalerror2 = 6414
SNR = 5 ; totalerror1 = 184548; totalerror2 = 6787
SNR = 5 ; totalerror1 = 193409; totalerror2 = 7072
SNR = 5 ; totalerror1 = 209766; totalerror2 = 7337
SNR = 5 ; totalerror1 = 215772; totalerror2 = 7626
SNR = 5 ; totalerror1 = 217588; totalerror2 = 7984
SNR = 5 ; totalerror1 = 234015; totalerror2 = 8311
SNR = 5 ; totalerror1 = 236604; totalerror2 = 8582
SNR = 5 ; totalerror1 = 237600; totalerror2 = 8921
SNR = 5 ; totalerror1 = 253199; totalerror2 = 9196
SNR = 5 ; totalerror1 = 256420; totalerror2 = 9456
SNR = 5 ; totalerror1 = 259410; totalerror2 = 9704
SNR = 5 ; totalerror1 = 260402; totalerror2 = 9955
SNR = 5 ; totalerror1 = 268470; totalerror2 = 10297
SNR = 5 ; totalerror1 = 283617; totalerror2 = 10612
SNR = 5 ; totalerror1 = 293698; totalerror2 = 10919
SNR = 5 ; totalerror1 = 294212; totalerror2 = 11200
SNR = 5 ; totalerror1 = 309959; totalerror2 = 11288
SNR = 5 ; totalerror1 = 318673; totalerror2 = 11536
SNR = 5 ; totalerror1 = 331453; totalerror2 = 11767
SNR = 5 ; totalerror1 = 336149; totalerror2 = 12094
SNR = 5 ; totalerror1 = 340533; totalerror2 = 12439
SNR = 5 ; totalerror1 = 349376; totalerror2 = 12876
SNR = 5 ; totalerror1 = 362785; totalerror2 = 13121
SNR = 5 ; totalerror1 = 370403; totalerror2 = 13470
SNR = 5 ; totalerror1 = 373820; totalerror2 = 13761
SNR = 5 ; totalerror1 = 377583; totalerror2 = 14063
