num = 613 ;SNR = 5 ; totalerror1 = 37164; totalerror2 = 322
num = 668 ;SNR = 5 ; totalerror1 = 39784; totalerror2 = 617
num = 873 ;SNR = 5 ; totalerror1 = 52220; totalerror2 = 910
num = 1092 ;SNR = 5 ; totalerror1 = 64253; totalerror2 = 1199
num = 1464 ;SNR = 5 ; totalerror1 = 83516; totalerror2 = 1506
num = 1579 ;SNR = 5 ; totalerror1 = 90173; totalerror2 = 1804
num = 1704 ;SNR = 5 ; totalerror1 = 98078; totalerror2 = 2023
num = 1711 ;SNR = 5 ; totalerror1 = 99619; totalerror2 = 2367
num = 1718 ;SNR = 5 ; totalerror1 = 100099; totalerror2 = 2630
num = 1812 ;SNR = 5 ; totalerror1 = 106825; totalerror2 = 2918
num = 1842 ;SNR = 5 ; totalerror1 = 109610; totalerror2 = 3200
num = 1904 ;SNR = 5 ; totalerror1 = 112525; totalerror2 = 3545
num = 1968 ;SNR = 5 ; totalerror1 = 115869; totalerror2 = 3766
num = 2067 ;SNR = 5 ; totalerror1 = 123152; totalerror2 = 4041
num = 2248 ;SNR = 5 ; totalerror1 = 131488; totalerror2 = 4326
num = 2252 ;SNR = 5 ; totalerror1 = 131980; totalerror2 = 4581
num = 2485 ;SNR = 5 ; totalerror1 = 143936; totalerror2 = 4916
num = 2913 ;SNR = 5 ; totalerror1 = 165766; totalerror2 = 5190
num = 3049 ;SNR = 5 ; totalerror1 = 174315; totalerror2 = 5471
num = 3105 ;SNR = 5 ; totalerror1 = 177382; totalerror2 = 5870
num = 3262 ;SNR = 5 ; totalerror1 = 185887; totalerror2 = 6056
num = 3541 ;SNR = 5 ; totalerror1 = 202214; totalerror2 = 6280
num = 3652 ;SNR = 5 ; totalerror1 = 208075; totalerror2 = 6564
num = 3682 ;SNR = 5 ; totalerror1 = 209886; totalerror2 = 6918
num = 4007 ;SNR = 5 ; totalerror1 = 225733; totalerror2 = 7237
num = 4052 ;SNR = 5 ; totalerror1 = 228346; totalerror2 = 7528
num = 4058 ;SNR = 5 ; totalerror1 = 229318; totalerror2 = 7847
num = 4286 ;SNR = 5 ; totalerror1 = 241288; totalerror2 = 8137
num = 4343 ;SNR = 5 ; totalerror1 = 244320; totalerror2 = 8412
num = 4407 ;SNR = 5 ; totalerror1 = 247465; totalerror2 = 8698
num = 4459 ;SNR = 5 ; totalerror1 = 250309; totalerror2 = 8968
num = 4574 ;SNR = 5 ; totalerror1 = 259124; totalerror2 = 9315
num = 4843 ;SNR = 5 ; totalerror1 = 272313; totalerror2 = 9511
num = 4867 ;SNR = 5 ; totalerror1 = 273828; totalerror2 = 9872
num = 5032 ;SNR = 5 ; totalerror1 = 283666; totalerror2 = 10183
num = 5038 ;SNR = 5 ; totalerror1 = 284186; totalerror2 = 10490
num = 5438 ;SNR = 5 ; totalerror1 = 307494; totalerror2 = 10762
num = 5605 ;SNR = 5 ; totalerror1 = 318428; totalerror2 = 11021
num = 5627 ;SNR = 5 ; totalerror1 = 320908; totalerror2 = 11281
num = 5696 ;SNR = 5 ; totalerror1 = 325436; totalerror2 = 11583
num = 5739 ;SNR = 5 ; totalerror1 = 329857; totalerror2 = 11937
num = 5858 ;SNR = 5 ; totalerror1 = 338907; totalerror2 = 12366
num = 6093 ;SNR = 5 ; totalerror1 = 352350; totalerror2 = 12650
num = 6234 ;SNR = 5 ; totalerror1 = 359793; totalerror2 = 12989
num = 6292 ;SNR = 5 ; totalerror1 = 363316; totalerror2 = 13285
num = 6355 ;SNR = 5 ; totalerror1 = 367094; totalerror2 = 13588
num = 6384 ;SNR = 5 ; totalerror1 = 368714; totalerror2 = 13886
num = 6616 ;SNR = 5 ; totalerror1 = 381890; totalerror2 = 14176
num = 6801 ;SNR = 5 ; totalerror1 = 390500; totalerror2 = 14425
num = 6947 ;SNR = 5 ; totalerror1 = 401438; totalerror2 = 14685
num = 1711 ;SNR = 5 ; totalerror1 = 52096; totalerror2 = 230
num = 1718 ;SNR = 5 ; totalerror1 = 52512; totalerror2 = 287
num = 3105 ;SNR = 5 ; totalerror1 = 93989; totalerror2 = 657
num = 4343 ;SNR = 5 ; totalerror1 = 127718; totalerror2 = 954
num = 4574 ;SNR = 5 ; totalerror1 = 135226; totalerror2 = 1271
num = 5038 ;SNR = 5 ; totalerror1 = 148962; totalerror2 = 1532
num = 5627 ;SNR = 5 ; totalerror1 = 169905; totalerror2 = 1785
num = 5696 ;SNR = 5 ; totalerror1 = 172495; totalerror2 = 2102
num = 5739 ;SNR = 5 ; totalerror1 = 175393; totalerror2 = 2454
num = 5858 ;SNR = 5 ; totalerror1 = 181211; totalerror2 = 2788
num = 6234 ;SNR = 5 ; totalerror1 = 193244; totalerror2 = 3067
num = 6355 ;SNR = 5 ; totalerror1 = 196690; totalerror2 = 3382
num = 6384 ;SNR = 5 ; totalerror1 = 197628; totalerror2 = 3660
num = 7221 ;SNR = 5 ; totalerror1 = 227267; totalerror2 = 3932
num = 7749 ;SNR = 5 ; totalerror1 = 243953; totalerror2 = 4298
num = 7764 ;SNR = 5 ; totalerror1 = 245045; totalerror2 = 4527
num = 7848 ;SNR = 5 ; totalerror1 = 247281; totalerror2 = 4884
num = 8298 ;SNR = 5 ; totalerror1 = 260945; totalerror2 = 5056
num = 8299 ;SNR = 5 ; totalerror1 = 261407; totalerror2 = 5350
num = 9307 ;SNR = 5 ; totalerror1 = 295174; totalerror2 = 5652
num = 9808 ;SNR = 5 ; totalerror1 = 311685; totalerror2 = 5937
num = 10939 ;SNR = 5 ; totalerror1 = 345244; totalerror2 = 6227
num = 11236 ;SNR = 5 ; totalerror1 = 356573; totalerror2 = 6518
num = 13202 ;SNR = 5 ; totalerror1 = 415455; totalerror2 = 6792
num = 13379 ;SNR = 5 ; totalerror1 = 420940; totalerror2 = 7048
num = 14135 ;SNR = 5 ; totalerror1 = 447512; totalerror2 = 7323
num = 14428 ;SNR = 5 ; totalerror1 = 457325; totalerror2 = 7593
num = 14520 ;SNR = 5 ; totalerror1 = 460868; totalerror2 = 7965
